"Unternehmensname","Domainname des Unternehmens","Jobboard_URL","diagnosis_status","diagnosis_reason","recommended_action","job_count_name","job_count_domain","last_checked_at","canonical_firm_id"
"PKF München","pkf-muenchen.de","https://pkf-muenchen.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-07-14","pkf-muenchen"
"Hoyng ROKH Monegier","hoyngrokhmonegier.com","https://hoyngrokhmonegier.com","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-07-14","hoyng-rokh-monegier"
"FRANKUS Wirtschaftsprüfer Steuerberater Rechtsanwälte","frankus.com","https://frankus.com","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-07-14","frankus"
"WWS Gruppe","wws-gruppe.de","https://www.wws-gruppe.de/de/startseite/karriere/warum-zur-wws/","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-07-14","wws-gruppe"
"Clyde & Co","clydeco.com","https://careers.clydeco.com/en/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-07-14","clyde-und-co"
"BANSBACH GmbH","bansbach-gmbh.de","https://karrierebb.bansbach-gruppe.de/karriere","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-07-14","bansbach"
"Schüllermann","schuellermann.de","https://schuellermann.de/karriere/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-07-14","schuellermann"
"Grünecker","grunecker.de","https://grunecker.de/karriere/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-07-14","gruenecker"
"Antoniadis & Ure","anure.de","https://anure.de/karriere-anure/","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-07-14","antoniadis-und-ure"
"Minoggio Grezesch Bachmann","mgb-law.de","https://www.mgb-law.de/karriere/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-07-14","minoggio-grezesch-bachmann"
