"feed","source","input_rows","new","updated","skipped","master_before","master_after"
"https://www.heyrecruit.de/jobs/companyJobsXml/4741","heyrecruit","13","2","11","0","19734","19736"
"https://www.heyrecruit.de/jobs/companyJobsXml/4541","heyrecruit","11","0","10","1","19736","19736"
"https://www.heyrecruit.de/jobs/companyJobsXml/4540","heyrecruit","4","0","4","0","19736","19736"
"https://www.heyrecruit.de/jobs/companyJobsXml/4489","heyrecruit","15","4","11","0","19736","19740"
"https://www.heyrecruit.de/jobs/companyJobsXml/4405","heyrecruit","5","2","3","0","19740","19742"
"https://www.heyrecruit.de/jobs/companyJobsXml/4320","heyrecruit","30","6","21","3","19742","19748"
"https://www.heyrecruit.de/jobs/companyJobsXml/3563","heyrecruit","13","0","13","0","19748","19748"
"https://www.heyrecruit.de/jobs/companyJobsXml/2816","heyrecruit","26","6","17","3","19748","19754"
"https://www.heyrecruit.de/jobs/companyJobsXml/2736","heyrecruit","16","3","12","1","19754","19757"
"https://www.heyrecruit.de/jobs/companyJobsXml/2606","heyrecruit","24","4","20","0","19757","19761"
"https://www.heyrecruit.de/jobs/companyJobsXml/2182","heyrecruit","8","3","3","2","19761","19764"
"https://www.heyrecruit.de/jobs/companyJobsXml/1700","heyrecruit","36","0","36","0","19764","19764"
"https://www.heyrecruit.de/jobs/companyJobsXml/1697","heyrecruit","46","11","34","1","19764","19775"
"https://www.heyrecruit.de/jobs/companyJobsXml/1696","heyrecruit","60","19","40","1","19775","19794"
"https://www.heyrecruit.de/jobs/companyJobsXml/1332","heyrecruit","5","0","5","0","19794","19794"
"https://www.heyrecruit.de/jobs/companyJobsXml/1182","heyrecruit","11","2","8","1","19794","19796"
"https://www.heyrecruit.de/jobs/companyJobsXml/1174","heyrecruit","50","16","26","8","19796","19812"
