"file","source","input_rows","new","updated","skipped","master_before","master_after"
"IMPORTS\Stepstone Listing Scrape 2026-06-29 (1).xlsx","stepstone","3191","409","2604","178","15879","16288"
"IMPORTS\🔥 Indeed Scraper 2026-06-29 (1).xlsx","indeed","2847","564","2144","139","16288","16852"
