"Unternehmensname","Domainname des Unternehmens","Jobboard_URL","diagnosis_status","diagnosis_reason","recommended_action","job_count_name","job_count_domain","last_checked_at","canonical_firm_id"
"Hogan Lovells","hoganlovells.com","https://www.hoganlovells.com/en/global-careers","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","hogan-lovells"
"PwC","pwc.com","https://jobs.pwc.de/de/de/jobs-experienced","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","pwc"
"Pinsent Masons","pinsentmasons.com","https://www.pinsentmasons.com/de-de/karriere","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","pinsent-masons"
"Forvis Mazars","forvismazars.com","https://careers.forvismazars.com","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","forvis-mazars"
"Herbert Smith Freehills","hsfkramer.com","https://hsfkramer.com","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","herbert-smith-freehills"
"eagle lsp","eagle-lsp.de","https://eagle-lsp.jobs.personio.de/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","eagle-lsp"
"KBHT Kalus + Hilger","kbht.de","https://www.kbht-karriere.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","kbht-kalus-hilger"
"Husemann Eickhoff Salmen & Partner","husemannpartner.de","https://www.husemannpartner.de/karriere/stellenangebote/","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","husemann-eickhoff-salmen-und"
"Willkie Farr & Gallagher","willkie.com","https://www.willkie.com/careers","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","willkie-farr-und-gallagher"
"SMP Schinogl Müller & Partner GbR","smp-frankfurt.de","https://smp-frankfurt.deine-wunschkanzlei.de/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","smp-schinogl-mueller-und-gbr"
"DHPG Rechtsanwälte Wirtschaftsprüfer Steuerberater - Obermüller, Rohde & Partner","dhpg.de","https://www.dhpg.de/de/karriere","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","dhpg-obermueller-rohde-und"
"schwarzpartners.de","schwarzpartners.de","https://www.schwarzpartners.de/karriere","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","schwarzpartners-de"
"Hauschild Böttcher","hauschild-boettcher.de","https://hauschild-boettcher.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","hauschild-boettcher"
"ARAG Versicherung","arag.de","https://www.arag-karriere.de/?utm_source=google&utm_medium=banner&utm_campaign=Homepage","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","arag-versicherung"
"PKF München","pkf-muenchen.de","https://pkf-muenchen.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","pkf-muenchen"
"FRANKUS Wirtschaftsprüfer Steuerberater Rechtsanwälte","frankus.com","https://frankus.com","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","frankus"
"WWS Gruppe","wws-gruppe.de","https://www.wws-gruppe.de/de/startseite/karriere/warum-zur-wws/","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","wws-gruppe"
"Clyde & Co","clydeco.com","https://careers.clydeco.com/en/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","clyde-und-co"
"BANSBACH GmbH","bansbach-gmbh.de","https://karrierebb.bansbach-gruppe.de/karriere","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","bansbach"
"Schüllermann","schuellermann.de","https://schuellermann.de/karriere/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","schuellermann"
"Grünecker","grunecker.de","https://grunecker.de/karriere/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","gruenecker"
"Antoniadis & Ure","anure.de","https://anure.de/karriere-anure/","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","antoniadis-und-ure"
"Minoggio Grezesch Bachmann","mgb-law.de","https://www.mgb-law.de/karriere/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","minoggio-grezesch-bachmann"
"W & K","wk-legal.de","https://wk-legal.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","w-und-k"
"Lintilia Law","lintilia.de","https://www.lintilia.de/news/prof.-dr.-jan-roth-zum-vorlaeufigen-insolvenzverwalter-des-busunternehmens-jungermann-bestellt-2026-03-10.htm","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","lintilia"
"HEUBLEIN Rechtsanwälte","heublein.eu","https://heublein.eu","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","heublein"
"Ikert-Tharun Wähling und Partner Rechtsanwälte","iw-partner.de","https://iw-partner.de/karriere/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","ikert-tharun-waehling-und"
"Benjamin Graumann Rechtsanwalt","anwalt-graumann.de","https://anwalt-graumann.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","benjamin-graumann"
"Rechtsanwälte Mook","mook-law.de","https://mook-law.de/neuigkeiten/","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","mook"
"RST Steuerberatungsgesellschaft mbH","rst-beratung.de","https://rst-beratung.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","rst-steuerberatungsgesellschaft-mbh"
"Stegemeier Rudolph","stegemeier-rudolph.de","https://stegemeier-rudolph.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","stegemeier-rudolph"
"WZM Wanner Zahn Machander Partnergesellschaft mbB","wzm-law.de","https://www.wzm-law.de/de/jobs","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","wzm-wanner-zahn-machander-partnergesellschaft"
"Wach und Meckes und Partner","wachundmeckes.com","https://wachundmeckes.com","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","wach-und-meckes-und"
"Studio Legal","studiolegal.de","https://studiolegal.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","studio"
"Weser Law","weser-law.de","","missing_jobboard_url","Domain vorhanden, aber keine gecachte Jobboard_URL.","Karriereseite entdecken und Jobboard_URL in target_firms_full.csv ergänzen.","0","0","2026-08-16","weser"
"Peterreins Schley","ps-patent.com","https://ps-patent.com/career.html","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","peterreins-schley"
"Müller Blum","muellerblum.de","https://muellerblum.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","mueller-blum"
"MNB Legal","www-mnblegal.de","https://www-mnblegal.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","mnb"
"Hilger Neumann & Partner","hilger-neumann-partner.de","https://hilger-neumann-partner.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","hilger-neumann-und"
"Franßen & Nusser","fn.legal","https://fn.legal/de/de/karriere/","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","franssen-und-nusser"
"EIP","eip.com","https://eip.com/uk/careers","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","eip"
"EHLERS, EHLERS & PARTNER RECHTSANWALTSGESELLSCHAFT MBB","ehlers-ehlers-und-partner.de","https://ehlers-ehlers-und-partner.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","ehlers-ehlers-und-rechtsanwaltsgesellschaft"
"Dr. Knabe","dr-knabe.de","https://www.dr-knabe.de/karriere","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","dr-knabe"
"Dr. Hermanns & Dr. Schumacher","https://www.hermanns-schumacher.d","https://www.hermanns-schumacher.d","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","dr-hermanns-und-dr-schumacher"
"Clayston","clayston.com","https://clayston.com/de/karriere.php","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","clayston"
"Böhret Semsdorf & Partner","boehret-sehmsdorf.de","https://karriere.boehret-sehmsdorf.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","boehret-semsdorf-und"
"Rechtsanwaltskanzlei Staab & Kollegen","staab-kollegen.com","https://staab-kollegen.com/karriere/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","rechtsanwaltskanzlei-staab-und-kollegen"
"Rechtsanwaltskanzlei Polz","polz-rechtsanwaltskanzlei.de","https://www.polz-rechtsanwaltskanzlei.de/karriere","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","rechtsanwaltskanzlei-polz"
"Prüfer & Partner mbB Patentanwälte Rechtsanwalt","pruefer.eu","https://pruefer.eu/karriere/","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","pruefer-und-patentanwaelte"
"Müller-Wrede & Partner Rechtsanwälte","mueller-wrede.de","https://www.bbh-karriere.de/de/","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","mueller-wrede-und"
"Müller-Boré & Partner Patentanwälte PartG mbB","mueller-bore.de","https://mueller-bore.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","mueller-bor-und-patentanwaelte"
"Mohr Rechtsanwälte Partnerschaftsgesellschaft mbB","mohrpartner.de","https://mohrpartner.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","mohr-partnerschaftsgesellschaft"
"LSV Rechtsanwalts GmbH","lsv-legal.com","https://lsv-legal.com","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","lsv-rechtsanwalts"
"Dennemeyer & Associates S.A.","dennemeyer.com","https://dennemeyer.com","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","dennemeyer-und-associates-s-a"
"Brödermann Jahn","german-law.com","https://german-law.com/de/karriere","no_master_match","Jobboard_URL vorhanden, aber kein Treffer in jobs_master.csv nach Kanzleiname oder Domain.","Seite manuell prüfen: keine Jobs, Parser-Lücke, JS/Cookie-Problem oder spezielles ATS möglich.","0","0","2026-08-16","broedermann-jahn"
"Berner, Fischer & Partner - Rechtsanwälte, Steuerberater PartmbB","bernerfischer-partner.de","https://bernerfischer-partner.de","jobboard_needs_review","Jobboard_URL wirkt wie Startseite oder generische Domain, nicht wie konkrete Karriereseite.","Karriere-/Stellenangebote-URL manuell prüfen und spezifischer speichern.","0","0","2026-08-16","berner-fischer-und-partmbb"
