"file","source","input_rows","new","updated","skipped","master_before","master_after"
"IMPORTS\Stepstone Recht_Steuer Scrape 2026-07-06.xlsx","stepstone","6565","526","5757","282","17427","17953"
"IMPORTS\Indeed Scraper 2026-07-06.xlsx","indeed","2874","364","2358","152","17953","18317"
