"feed","source","input_rows","new","updated","skipped","master_before","master_after"
"https://www.heyrecruit.de/jobs/companyJobsXml/4741","heyrecruit","13","2","11","0","25653","25655"
"https://www.heyrecruit.de/jobs/companyJobsXml/4541","heyrecruit","11","0","10","1","25655","25655"
"https://www.heyrecruit.de/jobs/companyJobsXml/4540","heyrecruit","2","0","2","0","25655","25655"
"https://www.heyrecruit.de/jobs/companyJobsXml/4489","heyrecruit","18","3","15","0","25655","25658"
"https://www.heyrecruit.de/jobs/companyJobsXml/4405","heyrecruit","5","0","5","0","25658","25658"
"https://www.heyrecruit.de/jobs/companyJobsXml/4320","heyrecruit","27","5","19","3","25658","25663"
"https://www.heyrecruit.de/jobs/companyJobsXml/3563","heyrecruit","11","7","4","0","25663","25670"
"https://www.heyrecruit.de/jobs/companyJobsXml/2816","heyrecruit","26","0","24","2","25670","25670"
"https://www.heyrecruit.de/jobs/companyJobsXml/2736","heyrecruit","16","6","10","0","25670","25676"
"https://www.heyrecruit.de/jobs/companyJobsXml/2606","heyrecruit","27","11","16","0","25676","25687"
"https://www.heyrecruit.de/jobs/companyJobsXml/2182","heyrecruit","9","0","7","2","25687","25687"
"https://www.heyrecruit.de/jobs/companyJobsXml/1700","heyrecruit","35","9","26","0","25687","25696"
"https://www.heyrecruit.de/jobs/companyJobsXml/1697","heyrecruit","42","9","32","1","25696","25705"
"https://www.heyrecruit.de/jobs/companyJobsXml/1696","heyrecruit","60","12","47","1","25705","25717"
"https://www.heyrecruit.de/jobs/companyJobsXml/1332","heyrecruit","6","2","4","0","25717","25719"
"https://www.heyrecruit.de/jobs/companyJobsXml/1182","heyrecruit","12","3","7","2","25719","25722"
"https://www.heyrecruit.de/jobs/companyJobsXml/1174","heyrecruit","56","8","40","8","25722","25730"
