"feed","source","input_rows","new","updated","skipped","master_before","master_after"
"https://www.heyrecruit.de/jobs/companyJobsXml/4741","heyrecruit","13","0","13","0","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/4541","heyrecruit","11","0","10","1","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/4540","heyrecruit","2","0","2","0","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/4489","heyrecruit","18","0","18","0","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/4405","heyrecruit","5","0","5","0","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/4320","heyrecruit","27","0","24","3","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/3563","heyrecruit","11","0","11","0","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/2816","heyrecruit","26","0","24","2","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/2736","heyrecruit","16","0","16","0","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/2606","heyrecruit","27","0","27","0","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/2182","heyrecruit","9","0","7","2","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/1700","heyrecruit","35","0","35","0","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/1697","heyrecruit","42","0","41","1","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/1696","heyrecruit","60","0","59","1","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/1332","heyrecruit","6","0","6","0","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/1182","heyrecruit","12","0","10","2","25739","25739"
"https://www.heyrecruit.de/jobs/companyJobsXml/1174","heyrecruit","55","0","47","8","25739","25739"
