"file","source","input_rows","new","updated","skipped","master_before","master_after"
"IMPORTS\🔥 Indeed Scraper 2026-07-13.xlsx","indeed","4192","357","3675","160","18737","19094"
"IMPORTS\Stepstone Recht_Steuer Scrape 2026-07-13.xlsx","stepstone","6508","294","5941","273","19094","19388"
