Unternehmensname,Domainname des Unternehmens,Jobboard_URL
DLA Group,dla.com,https://careers.dlapiper.com/jobs/index.html
PricewaterhouseCoopers Legal AG Rechtsanwaltsgesellschaft,legal.pwc.de,https://jobs.pwc.de/de/de/c/legal-jobs
"Skadden, Arps, Slate, Meagher & Flom LLP and Affiliates",skadden.com,https://www.skadden.com/careers/staff/opportunities/non-us-opportunities
PwC,pwc.com,https://jobs.pwc.de/de/de/jobs-experienced
Fieldfisher,fieldfisher.com,https://fieldfisher-karriere.de/jobs/
Dentons,dentons.com,https://careers.dentons.com/go/Opportunities-in-Germany/8677402/
BDO Germany,bdo.de,https://talents.bdo.de/berufserfahrene
eagle lsp,eagle-lsp.de,https://eagle-lsp.jobs.personio.de/
WINHELLER | Law.Tax.Relax.,winheller.com,https://www.winheller.com/karriere/aktuelle-stellenangebote.html
