"feed","source","input_rows","new","updated","skipped","master_before","master_after"
"https://www.heyrecruit.de/jobs/companyJobsXml/4741","heyrecruit","13","0","13","0","24462","24462"
"https://www.heyrecruit.de/jobs/companyJobsXml/4541","heyrecruit","11","1","9","1","24462","24463"
"https://www.heyrecruit.de/jobs/companyJobsXml/4540","heyrecruit","2","0","2","0","24463","24463"
"https://www.heyrecruit.de/jobs/companyJobsXml/4489","heyrecruit","15","0","15","0","24463","24463"
"https://www.heyrecruit.de/jobs/companyJobsXml/4405","heyrecruit","5","0","5","0","24463","24463"
"https://www.heyrecruit.de/jobs/companyJobsXml/4320","heyrecruit","27","1","25","1","24463","24464"
"https://www.heyrecruit.de/jobs/companyJobsXml/3563","heyrecruit","11","0","11","0","24464","24464"
"https://www.heyrecruit.de/jobs/companyJobsXml/2816","heyrecruit","27","1","23","3","24464","24465"
"https://www.heyrecruit.de/jobs/companyJobsXml/2736","heyrecruit","13","0","13","0","24465","24465"
"https://www.heyrecruit.de/jobs/companyJobsXml/2606","heyrecruit","25","1","24","0","24465","24466"
"https://www.heyrecruit.de/jobs/companyJobsXml/2182","heyrecruit","9","1","6","2","24466","24467"
"https://www.heyrecruit.de/jobs/companyJobsXml/1700","heyrecruit","36","0","36","0","24467","24467"
"https://www.heyrecruit.de/jobs/companyJobsXml/1697","heyrecruit","44","0","43","1","24467","24467"
"https://www.heyrecruit.de/jobs/companyJobsXml/1696","heyrecruit","60","2","57","1","24467","24469"
"https://www.heyrecruit.de/jobs/companyJobsXml/1332","heyrecruit","5","0","5","0","24469","24469"
"https://www.heyrecruit.de/jobs/companyJobsXml/1182","heyrecruit","11","0","10","1","24469","24469"
"https://www.heyrecruit.de/jobs/companyJobsXml/1174","heyrecruit","53","0","45","8","24469","24469"
