"feed","source","input_rows","new","updated","skipped","master_before","master_after"
"https://www.heyrecruit.de/jobs/companyJobsXml/4741","heyrecruit","13","0","13","0","25805","25805"
"https://www.heyrecruit.de/jobs/companyJobsXml/4541","heyrecruit","11","0","10","1","25805","25805"
"https://www.heyrecruit.de/jobs/companyJobsXml/4540","heyrecruit","2","0","2","0","25805","25805"
"https://www.heyrecruit.de/jobs/companyJobsXml/4489","heyrecruit","18","0","18","0","25805","25805"
"https://www.heyrecruit.de/jobs/companyJobsXml/4405","heyrecruit","5","0","5","0","25805","25805"
"https://www.heyrecruit.de/jobs/companyJobsXml/4320","heyrecruit","29","1","24","4","25805","25806"
"https://www.heyrecruit.de/jobs/companyJobsXml/3563","heyrecruit","11","1","10","0","25806","25807"
"https://www.heyrecruit.de/jobs/companyJobsXml/2816","heyrecruit","28","4","22","2","25807","25811"
"https://www.heyrecruit.de/jobs/companyJobsXml/2736","heyrecruit","18","2","16","0","25811","25813"
"https://www.heyrecruit.de/jobs/companyJobsXml/2606","heyrecruit","23","0","23","0","25813","25813"
"https://www.heyrecruit.de/jobs/companyJobsXml/2182","heyrecruit","8","0","6","2","25813","25813"
"https://www.heyrecruit.de/jobs/companyJobsXml/1700","heyrecruit","35","0","35","0","25813","25813"
"https://www.heyrecruit.de/jobs/companyJobsXml/1697","heyrecruit","44","6","35","3","25813","25819"
"https://www.heyrecruit.de/jobs/companyJobsXml/1696","heyrecruit","60","11","48","1","25819","25830"
"https://www.heyrecruit.de/jobs/companyJobsXml/1332","heyrecruit","3","0","3","0","25830","25830"
"https://www.heyrecruit.de/jobs/companyJobsXml/1182","heyrecruit","12","1","9","2","25830","25831"
"https://www.heyrecruit.de/jobs/companyJobsXml/1174","heyrecruit","43","2","34","7","25831","25833"
