"file","source","input_rows","new","updated","skipped","master_before","master_after"
"IMPORTS\Indeed Octoparse API 2026-08-16 lot-639224280265282115.csv","indeed","4038","405","3537","96","23583","23988"
"IMPORTS\Stepstone Octoparse API 2026-08-16 lot-639224397075203796.csv","stepstone","5703","76","5390","237","23988","24064"
